,,ASTRA Design Options,,,,"$2,985",,,,,,,
,,,,Production Unit,,,,,,,,,
Production Ordered,Single Unit Cost,Subsystem,Component,Brand,Model,Cost,,,,,,,
,For Donations,,,,,,,,,,,,
,,Mount,,,,,$717.40,,,,,,
,$10,,MISC items / cable management,N/A,"MISC (e.g. zip ties, etc)",$10,,,,,,,
,,,,,,,,,,,,,
X,$9,,SMA to RPSMA Adapter Kit,Amazon / Superbat,Superbat SMA Female/Male to RP-SMA Female/Male RF Coaxial Coax Adapter ,$9,,,,,,,
X,$8,,SMA Coax Cable RG 402,Amazon ,"15cm SMA Male to Male Coaxial Cable 6"" RG405 50 Ohm",$8,,https://www.amazon.com/POBADY-Coaxial-Cable-Pigtail-Extension/dp/B0CDGQP84J/ref=sr_1_1?crid=IFEY3AF7OOE2&dib=eyJ2IjoiMSJ9.LyYNUNz9u3F1FUoZll-R6pFZsEa-Kcj4zrXRciaQL5lUC0M-PDjAJN0ctH-Vz3oO8YRmWOCeBuXa8mTnXL6OSZVY3DnlDFIquwyDzv6YypIstuCB504EQ-S-R-Vnmdcisaa9QgohYBEz-XtoGzjpmHJBTO83uLuvjOCS53UgerE52JqNsHGuo7GtUGuSO08v8_S5pA1Ddo51Ok-Xry0f8VQrE-1hgzoqJ6TiD0eypqU.A2cxbshaTnVJd8sk-O6VyTNHCpcDSXoIXi_jW7izwqg&dib_tag=se&keywords=sma%2Brg402%2Bcable&qid=1773279437&sprefix=sma%2Brg402cable%2Caps%2C125&sr=8-1&th=1,,,,,
X,$7,,SMA Feedthrough Bulkhead w/gasket,Amazon ,SMA Bulkhead Adapter Female Coupler 2-Pack Waterproof,$7,,https://www.amazon.com/exgoofit-Waterproof-Bulkhead-Connetor-Antennas/dp/B0D66Y7C6J/ref=sr_1_18_sspa?crid=2F7SND4RC9SZ3&dib=eyJ2IjoiMSJ9.CgyC03_4NC_qEfFp41x2-ryIPsC1Ry5LT4j_NyzaaZhVFjBYuze02ICfcQBmJm1uLWikIwB97NBVTwOSHkO1SE61ormt1C3lC9mlWu0vJsibRTCOBj1bAjhsPWSrNQZ_fQTm-94BAeXrPjIq3P4h659oG3vlBcZ1p_yqkuG0NuuKucIXQFJUTdMJp60fQM8mze78e-8DdxD4kXrdcnxkpYekxcasXI9AfNtdSbLf2fM.Q3lX2uOc_DkjTANHZGCkrOoRXvHwRtEGy0C3Zr1b8j4&dib_tag=se&keywords=sma+gasket+bulkhead&qid=1773278800&sprefix=sma+gasket+bulkhead%2Caps%2C129&sr=8-18-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1,,,,,
X,$20,Seal internally with EMI tape,DC Power for Mount,Amazon ,Starlink Mini 5521 RV entry,$20,,"Waterproof Wall Socket Passthrough for Starlink Mini, Aluminum DC 5.5 x 2.1",,,,,https://www.amazon.com/Waterproof-5521Connector-Replacement-Satellite-Campervan/dp/B0GM1BJMSB/ref=sr_1_7?crid=1EDJ57T1KKHMH&dib=eyJ2IjoiMSJ9.ciuoWQ5bcNrYE_ev1FoMWgvSwGo2oX1RPTQs9TnRqKKz2bKpBLKM07Ah14T_MUg2jt0LFVar_dXziLuNxJPRrjzhgmOvBAfH8FXj6gEQH7l3NBvMLmQF4ZtDBjviztLHNwknqc84ZBhjMVbyD_Ae-4d3xeS3cdTJzLUqbfMj4Mgi8VfDWDbg-TJh1XTdT63DfahRM4qJMq74RyBXsbzLtbcy1GcgkbwWBj6ErI1FXNI.SNw0wqTVSWGer7EWOW0J6LULqCj9JQQGn3nq1YbdjNc&dib_tag=se&keywords=12v+dc+starlink+power+bulkhead+5521&qid=1773280488&sprefix=12v+dc+starlink+power+bulkhead+5521%2Caps%2C120&sr=8-7#averageCustomerReviewsAnchor
x,$36,3,USB3  Dual Bulkhead C + C,Amazon ,Penglin Dual USB C Panel Mount,$36,,,,,,,
x,$9,,5525 to 5521 DC converter,Amazon ,DC5.5X 2.1mm Female to DC 5.5X 2.5mm Male Power Extension Cable 90 Degree Right Angle DC 5525 Male,$9,,https://www.amazon.com/HCFeng-Extension-DC5521Female-Security-Monitor/dp/B0C2KQYL91/ref=sr_1_3?crid=3VRZ02F2L13VG&dib=eyJ2IjoiMSJ9.6mUJ06hto0dic32vpmH39XDZ9U-o9-k6Xaq1yLQ_l5zjUCbx_VZMDw4FqDP2KboICBiise_k-6n1M0IVgvUy8rgBrsHSTzQ-q-O8bMPONyse6xm3qG0SZPKgnhQAE6ucNF1JPExCQp-wx0LEFEr_xtPoHI9n_G5nco17KRCgKeYl-c82pqXMkIZlQ-q2oUZgyHMtWT3uOTbeCIrM6BKAefDx5pgcgWRXtsyHqkZsLk4.e3QFcPah4nlZRf_b2KAXhz_CzfKiEY5wvZ6YkB9F3FM&dib_tag=se&keywords=5521+to+5525+DC+converter+right+angle&qid=1773281127&sprefix=5521+to+5525+dc+converter+right+angle%2Caps%2C114&sr=8-3,,,,,
X,$26,,12V DC Cable 5521 to 5521,Amazon ,Starlink braided 5521 DC / DC Cable,$26,,https://www.amazon.com/gp/product/B0FWQ7TY77/ref=ewc_pr_img_1?smid=A16JE9YMQJ0G3W&th=1,,,,,
,,,,,,,,,,,,,
X,$8,,USB Cable for biasT and LNA ,Amazon,UCEC Dual Micro USB Splitter,$8,,https://www.amazon.com/UCEC-Splitter-Charge-Devices-Single/dp/B01713KLSY/ref=sr_1_18?crid=2XD1CKE0IS6HA&dib=eyJ2IjoiMSJ9.s6wu29NbW0zGdUQUaM2SoMWpN5O1Zne-zS9WPpRkn58WO_jpeWHCMyq5-CcO46n_1VAaO2WKYS2Rw4IDj86BYMKTPj9MEhxaX_R8XypPrIW0OQ9IWi6C6DUH5Iu5ZWLWA8MKpKtpe-vzbUFgPH1yQ4XzSiGIooaQz7mDy6mslxjzieQfjKugEPQuj5Gkj8C1iEuSRLcpWp_ee1-5t8l6Zb8Vf5FqIiYCLGZIpyLZWZCEvUhNyxIeLpqzVygsU6WsSeeTkcnfqmkZyO5HsDRAT1woNCDjca4cJuUuzSeJLsI.AVQrk9aAcj6v4BxIvLrKAFXi6OBgoYIv3yZvYL7dj2o&dib_tag=se&keywords=usb%2Bpower%2Bspli%2Bcable%2B1%3A2&qid=1773276372&s=electronics&sprefix=usb%2Bpower%2Bspli%2Bcable%2B1%2B2%2Celectronics%2C113&sr=1-18&th=1,,,,,
X,$16,3,"USB Cable for SDR, WiFI, bias Split",Amazon,"SUNGUY 5Gbps USB 3.0 Extension Cable, 1FT USB A Male to Female Extender Cord",$24,,,,,,,
x,$26,5,"USB C to C cable for CPU to bulkhead, Battery to Bulkhead, RP2040 switch",Amazon / Digirig,Shielded Short USB-C to USB-C Cable with Ferrites ,$26,,https://www.amazon.com/Shielded-Short-USB-C-Cable-Ferrites/dp/B0BJ1BF5YQ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OJtcNejhRr2V3ENEwcF0rivVVKiyhfjfOXITG7c9VNqjyIvU7x8Q2YS0wjQkkabFf331WkLoOZhu_vHfFG7Ny16-otYWn1gYnZ6VJzY2InPEgCC-x-9h6YIstohtw73LwVbt3wyFIyFRyg8UuzjmAxZLU6t2i_56p3TvN5FhkkMBG9iV4Lxb_WzqfhXdzDpftMtAxlSJvF6cuQA6Gdve-NJDB6FMdGqR9v1FOIPCgysS-Vam-Asl8c6hfLoNJAExH4xaCiriFyN1t55emJzYWdz6-iDv9QUkSvNTDKTzhmI.eGmey4Ohrhq5PxUYzg0jhteotd5Ci61nHFsuRCctuE8&dib_tag=se&qid=1773277891&refinements=p_89%3ADigirig&sr=8-6&srs=37071732011,,,,,
x,$7,,USB A to C Adapters,Amazon / uGreen,"UGREEN USB to USB C Adapter 3Pack,",$7,,https://www.amazon.com/UGREEN-Adapter-10Gbps-Converter-Samsung/dp/B0CY1Y3TSQ/ref=sr_1_4?crid=12J9GX14C7B96&dib=eyJ2IjoiMSJ9.-i56q4XL2rSAlkdcMlTUPZDbWTxVnKpmwiYVy36EkAo6jl6mAB3XZZX9I_tsYcoWmOrmZ6y8i8f1TQSLs9rD3A-PnhOgUuNJRtL90HUqewERhPnAKMjQHByHBHZiguy6351GZq74uEcGid9hn2Hl6SlzmlKpR29wB3Fz6LX_xyQUVTyb7OdL_0jpgmbQxs8H3zB-tKPuMV7H1w1S_xi5mYaZg81PcKEP9hE4bq0Zgpw.qEjv7cO8fopkikkHLlAurzKAKkwJiiYLPd31IQifyek&dib_tag=se&keywords=usb3%2Ba%2Bto%2Bc&qid=1773281690&sprefix=usb3%2Ba%2Bto%2Bc%2Caps%2C206&sr=8-4&th=1,,,,,
x,$40,3,USB C to C Cable with Ferrites (all external USB),Amazon / Digirig,Shielded 2m USB-C to USB-C cable,$40,,https://www.amazon.com/Digirig-Shielded-USB-C-Cable-Ferrites/dp/B0FMC8V8J9/ref=sr_1_1?dib=eyJ2IjoiMSJ9.OJtcNejhRr2V3ENEwcF0rnkHR0wi3RgPfvqY3nq3OoxrgoJO4Ik7HlV31_6vSOlxUiT0ruqpss7D_DtQ2bf0jR2bSBeXnhzH7LngoRDOb9OZH8TZNLoG6FtYA7hriztLWAQ_Ipkj5UMESqg8ncb8xoFQmu58ifIV69CLEYlO3574nZIQ2lclYGvKc3sFKFuq3mPdrvP3uMFZeSqCHqu5z1YoQX_nHass0HQai4-QgA8aOzHqggH-IX0YrZ1zBTeM1iY6Y-FliV4vjpxZs2KQtJaaqykYYsgQ04PwPOW4NSY.Z-pY8E7J-S4MzORqkpqOz00jS58ipnU1m_ubaBhk2PE&dib_tag=se&qid=1773282059&refinements=p_89%3ADigirig&sr=8-1&srs=37071732011,,,,,
x,$13,,USB A 2.0 to C short,Amazon / Digirig ,Shielded short USB A to C cable,$13,,https://www.amazon.com/Digirig-Shielded-Short-USB-C-Ferrites/dp/B0BJ182J9J/ref=sr_1_1?crid=1XQQ7575LD3EQ&dib=eyJ2IjoiMSJ9.jiBCrTKjnQbIokarpzlv8P_gSlPqMkOg4LdEkEWhj-hNMwHxBcifsyMut14WWoaGAZyNvnaKAfgtp2IVRFTIKVUPwWZDk_9k6Oz8eveiLb4A5HsJZTf__9L9PwN81fe4ikvnWKKyODsPAzpe6yvXlGS2FzhkBW0-W0h8dFBM5DxNI0gxrk-wjYzTIu2stq0NDOg-8S6F5khQNBx130Ak2D8k_gGvWhZFCi0cWEvrVbE.iICspbzisZAd2B4PukOQTrI4TFv9KjgS62w2G-1aJVk&dib_tag=se&keywords=digirig+usba+to+c&qid=1773283480&sprefix=digirig+usba+to+c%2Caps%2C143&sr=8-1,,,,,
X,$4,,Short Outdoor Power Cable,Amazon,1ft 12 gauge short outdoor extension cord,$4,,https://www.amazon.com/dp/B0DCYWGTHP?ref=ppx_yo2ov_dt_b_fed_asin_title,,,,,
X,$7,,Short Indoor Right Angle Power Cable,Amazon,1 ft NEMA 5-15 right angle power cable,$7,,https://www.amazon.com/dp/B0CC5M8Y2X?ref=ppx_yo2ov_dt_b_fed_asin_title,,,,,
,,,Power Extension Cord Reel (outdoor),Home Depot,HDX 30 foot cord reel,$30,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Power,,,,,$293,,,,,,
X,$149,6.1 inch height,LiFePO4 Battery Power Station,Bluetti,Elite 30 V2,$219,,,,,,,
X,$13,EMI Copper Tape,copper foil tape for EMI,Amazon,2 inch copper foil tape,$13,,https://www.amazon.com/dp/B0DY1BNSPL?ref=ppx_yo2ov_dt_b_fed_asin_title,,,,,
X,$17,EMI Faraday Cloth,"2"" faraday EMI cloth",Amazon,"2"" x65.6' Faraday Cloth Conductive Adhesive Tape",$17,,https://www.amazon.com/dp/B0CQX3Y7LH?ref=ppx_yo2ov_dt_b_fed_asin_title,,,,,
x,$34,Copper mesh,,Amazon,8 Inch x 100 Feet Pure Copper Mesh Roll ,$34,,https://www.amazon.com/dp/B0FMJZSG99?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1,,,,,
X,$10,Kapton Tape,"2"" kapton tape",Amazon,2 inch / 50mm 6 yd kapton tape,$10,,https://www.amazon.com/dp/B07D5RRXTS?ref=ppx_yo2ov_dt_b_fed_asin_title,,,,,
,,,,,,,,,,,,,
,,Computer,,,,,$499,,,,,,
,,,,,,,,,,,,,
,,,AMD Compuger,Amazon,GMKtec G10 Ryzen 5 3500U,$320,,https://www.amazon.com/dp/B0FR8S6CBW?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_7&th=1,,,,,
X,$52,1,WiFI Filter,Mouser / Minicircuits,VHF-2000+,$39,,,,,,,
X,$29,,WiFI USB Dongle,Amazon,AWUS036ACS ,$29,,,,,,,
X,$10,,USB C 4 port hub,Amazon,Ugreen USB C Hub 4 ports 3.2,$16,,,,,,,
X,$12,,RP2040 Feather Board,N/A,N/A,$12,,,,,,,
X,$8,,Feather stacking header,N/A,N/A,2,,,,,,,
X,$30,,GNSS Receiver + Antenna QT,adafruit,PA1010D,$30,,,,,,,
X,$35,,IMU 9DoF fusion QT,adafruit,BNO055,30,,,,,,,
X,$15,,OLED Display Featherwing,N/A,4650,15,,,,,,,
x,$3,3,Stemma QT Cable 100mm,N/A,N/A,3,,,,,,,
,$2,,3D printed AI Unit enclosure,custom 3d printed,PETG-CF,3,,EMI paint coating on interior with screen mesh,,,,,
,,,,,,,,,,,,,
,,Radio,,,,,$793,,,,,,
X,$129,RF HAM DESIGN 1.0M?,Antenna,KrakenRF,Discovery Dish,$129,,Solar cooker for haystack version,,,,,
X,$109,RF HAM DESIGN 1.0M?,Feed,KrakenRF,H-line Feed,$109,,,,,,,
X,$50,,Bias-T,GPIO Labs,usb-c bias-T,$50,,,,,,,
X,$70,,RF Filter (H-line),Minicircuits / Mouser,VBFZ-1400-S+,$70,,,,,,,
,$70,,RF Filter (L-band),Minicircuits / Mouser,VBFZ-1690-S+,$70,,,,,,,
,$70,,RF Filter (S-band),Minicircuits / Mouser,VBFZ-2340-S+,$70,,,,,,,
X,$230,,Software Radio,Analog Devices,Pluto SDR,$230,,,,,,,
X,$24,,RF Calibration Noise Source,Amazon,NWDZ,$24,,https://www.amazon.com/dp/B078J57BJB?ref=ppx_yo2ov_dt_b_fed_asin_title,,,,,
X,$3,,RF Calibrator Boost Regulator w/ Enable,Adafruit,5644,$3,,https://www.adafruit.com/product/5644,,,,,
X,$5,,Stemma GPIO,Adafruit,5545,$5,,,,,,,
X,$85,,EMI tape / shielding mesh,Amazon,,$25,,Cost is for all materials,,,,,
